Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,-1,-1,true,true,3130.0,3014.600000000072,115.39999999992779,3130.0,2766.399999999928,20.729999999999997
1,-1,-1,true,true,3130.0,2928.7000000000635,201.29999999993652,3130.0,2612.2999999999365,15.969999999999999
2,-1,-1,true,true,3130.0,2997.200000000049,132.79999999995107,3130.0,2303.799999999951,18.119999999999997
3,-1,-1,true,true,3130.0,2974.9000000000474,155.09999999995262,3130.0,2264.0999999999526,13.59
4,-1,-1,true,true,3130.0,2938.6000000000745,191.3999999999255,3130.0,2805.3999999999255,12.399999999999999
5,-1,-1,true,true,3130.0,3067.8000000000657,62.199999999934334,3130.0,2669.1999999999343,20.499999999999996
6,-1,-1,true,true,3130.0,2767.2000000000144,362.79999999998563,3130.0,1503.7999999999859,6.68
7,-1,-1,true,true,3130.0,2859.3000000000866,270.6999999999134,3130.0,3110.6999999999134,15.739999999999998
8,-1,-1,true,true,3130.0,2903.000000000086,226.99999999991405,3130.0,3080.999999999914,12.399999999999999
9,-1,-1,true,true,3130.0,2980.3000000000816,149.69999999991842,3130.0,3008.6999999999184,19.31
10,-1,-1,true,true,3130.0,3002.700000000073,127.29999999992697,3130.0,2776.299999999927,20.73
11,-1,-1,true,true,3130.0,2765.5000000000373,364.4999999999627,3130.0,1991.4999999999625,11.44
12,-1,-1,true,true,3130.0,2872.0000000000546,257.99999999994543,3130.0,2490.9999999999454,13.59
13,-1,-1,true,true,3130.0,3074.1000000000445,55.899999999955526,3130.0,2191.8999999999555,24.529999999999998
14,-1,-1,true,true,3130.0,2880.2000000000344,249.79999999996562,3130.0,1934.7999999999654,9.059999999999999
15,-1,-1,true,true,3130.0,2975.100000000061,154.89999999993915,3130.0,2565.899999999939,15.969999999999999
16,-1,-1,true,true,3130.0,3016.6000000000804,113.3999999999196,3130.0,2979.3999999999196,17.16
17,-1,-1,true,true,3130.0,2897.8000000000593,232.1999999999407,3130.0,2553.1999999999407,14.78
18,-1,-1,true,true,3130.0,2820.8000000000493,309.1999999999507,3130.0,2325.1999999999507,12.399999999999999
19,-1,-1,true,true,3130.0,2962.2000000000517,167.79999999994834,3130.0,2394.7999999999483,18.35
20,-1,-1,true,true,3130.0,2710.4000000000397,419.59999999996035,3130.0,2040.5999999999606,11.44
21,-1,-1,true,true,3130.0,2871.8000000000625,258.1999999999375,3130.0,2604.1999999999375,13.59
22,-1,-1,true,true,3130.0,2902.700000000045,227.29999999995516,3130.0,2205.299999999955,23.839999999999996
23,-1,-1,true,true,3130.0,3006.100000000058,123.89999999994188,3130.0,2532.899999999942,15.969999999999999
24,-1,-1,true,true,3130.0,2849.40000000008,280.5999999999199,3130.0,2962.59999999992,21.69
25,-1,-1,true,true,3130.0,2989.7000000000526,140.29999999994743,3130.0,2431.2999999999474,20.729999999999997
26,-1,-1,true,true,3130.0,2899.6000000000718,230.39999999992824,3130.0,2761.3999999999282,22.88
27,-1,-1,true,true,3130.0,3022.500000000079,107.49999999992087,3130.0,2921.499999999921,30.749999999999996
28,-1,-1,true,true,3130.0,2827.7000000000485,302.2999999999515,3130.0,2293.2999999999515,13.589999999999998
29,-1,-1,true,true,3130.0,2800.3000000000675,329.6999999999325,3130.0,2702.6999999999325,12.399999999999999
30,-1,-1,true,true,3130.0,2979.800000000086,150.19999999991387,3130.0,3104.199999999914,23.11
31,-1,-1,true,true,3130.0,2720.40000000008,409.5999999999199,3130.0,2971.59999999992,14.78
32,-1,-1,true,true,3130.0,2922.1000000000377,207.89999999996235,3130.0,1986.8999999999626,10.25
33,-1,-1,true,true,3130.0,2885.6000000000454,244.39999999995462,3130.0,2224.3999999999546,13.59
34,-1,-1,true,true,3130.0,3075.5000000000305,54.49999999996953,3130.0,1826.4999999999695,17.16
35,-1,-1,true,true,3130.0,2847.9000000000187,282.09999999998126,3130.0,1576.0999999999813,17.159999999999997
36,-1,-1,true,true,3130.0,2982.7000000000507,147.29999999994925,3130.0,2382.2999999999493,18.349999999999998
37,-1,-1,true,true,3130.0,2766.3000000000793,363.6999999999207,3130.0,2928.6999999999207,16.93
38,-1,-1,true,true,3130.0,2919.3000000000648,210.69999999993524,3130.0,2648.6999999999352,14.78
39,-1,-1,true,true,3130.0,3024.2000000000608,105.79999999993925,3130.0,2572.7999999999392,15.739999999999998
40,-1,-1,true,true,3130.0,2917.3000000000825,212.6999999999175,3130.0,3016.6999999999175,14.779999999999998
41,-1,-1,true,true,3130.0,2782.400000000086,347.59999999991396,3130.0,3095.599999999914,19.31
42,-1,-1,true,true,3130.0,3054.1000000000363,75.89999999996371,3130.0,1970.8999999999637,15.01
43,-1,-1,true,true,3130.0,2718.80000000005,411.1999999999498,3130.0,2364.19999999995,12.629999999999999
44,-1,-1,true,true,3130.0,2904.500000000062,225.49999999993815,3130.0,2599.499999999938,17.159999999999997
45,-1,-1,true,true,3130.0,2891.7000000000535,238.29999999994652,3130.0,2470.2999999999465,13.59
46,-1,-1,true,true,3130.0,3040.100000000052,89.8999999999478,3130.0,2413.899999999948,14.78
47,-1,-1,true,true,3130.0,2908.200000000083,221.79999999991696,3130.0,3030.799999999917,21.689999999999998
48,-1,-1,true,true,3130.0,2898.3000000000766,231.69999999992342,3130.0,2853.6999999999234,23.61
49,-1,-1,true,true,3130.0,2877.7000000000426,252.29999999995744,3130.0,2144.2999999999574,15.01
50,-1,-1,true,true,3130.0,3059.5000000000564,70.49999999994361,3130.0,2520.4999999999436,21.69
51,-1,-1,true,true,3130.0,2792.200000000064,337.79999999993606,3130.0,2623.799999999936,13.82
52,-1,-1,true,true,3130.0,2924.1000000000395,205.89999999996053,3130.0,2039.8999999999608,14.78
53,-1,-1,true,true,3130.0,2890.500000000046,239.49999999995407,3130.0,2226.499999999954,13.59
54,-1,-1,true,true,3130.0,2797.2000000000808,332.79999999991924,3130.0,2981.7999999999192,15.969999999999999
55,-1,-1,true,true,3130.0,3018.000000000049,111.99999999995089,3130.0,2313.999999999951,19.54
56,-1,-1,true,true,3130.0,2877.8000000000784,252.1999999999216,3130.0,2898.1999999999216,22.88
57,-1,-1,true,true,3130.0,2897.2000000000417,232.79999999995835,3130.0,2123.7999999999583,15.009999999999998
58,-1,-1,true,true,3130.0,2884.8000000000757,245.19999999992433,3130.0,2833.1999999999243,18.349999999999998
59,-1,-1,true,true,3130.0,2814.7000000000776,315.2999999999224,3130.0,2876.2999999999224,19.54
