Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,0,0,false,true,590.0,480.0,110.0,590.0,107.09999999999992,6.91
1,-1,-1,true,true,590.0,393.2000000000004,196.7999999999996,590.0,196.79999999999964,0.0
2,-1,-1,true,true,590.0,462.1999999999979,127.80000000000211,590.0,518.8000000000021,5.72
3,-1,-1,true,true,590.0,436.7999999999972,153.20000000000277,590.0,573.2000000000028,4.529999999999999
4,-1,-1,true,true,590.0,402.3999999999993,187.6000000000007,590.0,397.6000000000007,3.34
5,-1,-1,true,true,590.0,534.4,55.60000000000002,590.0,55.60000000000004,0.0
6,-1,-1,true,true,590.0,227.39999999999725,362.60000000000275,590.0,572.6000000000028,3.34
7,-1,-1,true,true,590.0,329.3999999999984,260.6000000000016,590.0,470.6000000000016,3.34
8,-1,-1,true,true,590.0,370.00000000000045,219.99999999999955,590.0,219.99999999999957,0.0
9,-1,-1,true,true,590.0,457.20000000000016,132.79999999999984,590.0,132.79999999999984,0.0
10,-1,-1,true,true,590.0,472.5000000000001,117.49999999999989,590.0,117.4999999999999,0.0
11,-1,-1,true,true,590.0,235.79999999999956,354.20000000000044,590.0,354.20000000000044,0.0
12,-1,-1,true,true,590.0,335.39999999999844,254.60000000000156,590.0,464.60000000000156,3.34
13,-1,-1,true,true,590.0,535.4999999999976,54.50000000000239,590.0,534.5000000000024,6.91
14,-1,-1,true,true,590.0,346.4999999999987,243.5000000000013,590.0,454.5000000000013,3.34
15,-1,-1,true,true,590.0,446.10000000000025,143.89999999999975,590.0,143.89999999999975,0.0
16,-1,-1,true,true,590.0,495.00000000000006,94.99999999999994,590.0,94.99999999999996,0.0
17,-1,-1,true,true,590.0,369.90000000000043,220.09999999999957,590.0,220.09999999999957,0.0
18,-1,-1,true,true,590.0,293.00000000000017,296.99999999999983,590.0,296.99999999999983,0.0
19,-1,-1,true,true,590.0,425.5999999999974,164.4000000000026,590.0,554.4000000000026,5.72
20,-1,-1,true,true,590.0,172.39999999999912,417.6000000000009,590.0,417.6000000000009,0.0
21,-1,-1,true,true,590.0,336.90000000000055,253.09999999999945,590.0,253.09999999999943,0.0
22,-1,-1,true,true,590.0,375.89999999999895,214.10000000000105,590.0,424.10000000000105,3.34
23,-1,-1,true,true,590.0,476.1000000000001,113.89999999999992,590.0,113.89999999999992,0.0
24,-1,-1,true,true,590.0,327.8000000000005,262.1999999999995,590.0,262.1999999999995,0.0
25,-1,-1,true,true,590.0,452.4000000000002,137.5999999999998,590.0,137.5999999999998,0.0
26,-1,-1,true,true,590.0,365.5999999999974,224.4000000000026,590.0,555.4000000000026,3.34
27,-1,-1,true,true,590.0,492.29999999999825,97.70000000000175,590.0,487.70000000000175,5.72
28,-1,-1,true,true,590.0,290.299999999998,299.700000000002,590.0,510.700000000002,3.34
29,-1,-1,true,true,590.0,264.09999999999985,325.90000000000015,590.0,325.90000000000015,0.0
30,-1,-1,true,true,590.0,460.8000000000001,129.19999999999987,590.0,129.19999999999987,0.0
31,-1,-1,true,true,590.0,199.1999999999993,390.8000000000007,590.0,390.8000000000007,0.0
32,-1,-1,true,true,590.0,382.9999999999976,207.0000000000024,590.0,537.0000000000024,3.34
33,-1,-1,true,true,590.0,362.2000000000005,227.7999999999995,590.0,227.79999999999953,0.0
34,-1,-1,true,true,590.0,544.6,45.39999999999998,590.0,45.40000000000002,0.0
35,-1,-1,true,true,590.0,309.1999999999982,280.8000000000018,590.0,491.8000000000018,3.34
36,-1,-1,true,true,590.0,451.9000000000002,138.0999999999998,590.0,138.0999999999998,0.0
37,-1,-1,true,true,590.0,238.39999999999736,351.60000000000264,590.0,563.6000000000026,3.34
38,-1,-1,true,true,590.0,385.4999999999981,204.50000000000188,590.0,504.5000000000019,4.529999999999999
39,-1,-1,true,true,590.0,492.6999999999983,97.30000000000172,590.0,487.3000000000017,5.72
40,-1,-1,true,true,590.0,384.99999999999807,205.00000000000193,590.0,506.00000000000193,4.529999999999999
41,-1,-1,true,true,590.0,259.5999999999975,330.4000000000025,590.0,540.4000000000025,3.34
42,-1,-1,true,true,590.0,519.1999999999999,70.80000000000007,590.0,70.80000000000003,0.0
43,-1,-1,true,true,590.0,186.29999999999927,403.7000000000007,590.0,403.7000000000007,0.0
44,-1,-1,true,true,590.0,366.2999999999988,223.70000000000118,590.0,434.7000000000012,3.34
45,-1,-1,true,true,590.0,361.69999999999766,228.30000000000234,590.0,528.3000000000023,4.529999999999999
46,-1,-1,true,true,590.0,501.79999999999734,88.20000000000266,590.0,568.2000000000027,6.91
47,-1,-1,true,true,590.0,378.599999999999,211.400000000001,590.0,422.400000000001,3.34
48,-1,-1,true,true,590.0,370.6999999999978,219.30000000000223,590.0,520.3000000000022,4.529999999999999
49,-1,-1,true,true,590.0,351.70000000000056,238.29999999999944,590.0,238.29999999999944,0.0
50,-1,-1,true,true,590.0,522.2999999999975,67.70000000000255,590.0,548.7000000000025,6.91
51,-1,-1,true,true,590.0,258.79999999999967,331.20000000000033,590.0,331.20000000000033,0.0
52,-1,-1,true,true,590.0,395.19999999999925,194.80000000000075,590.0,404.80000000000075,3.34
53,-1,-1,true,true,590.0,355.79999999999876,234.20000000000124,590.0,444.20000000000124,3.34
54,-1,-1,true,true,590.0,262.6999999999998,327.3000000000002,590.0,327.3000000000002,0.0
55,-1,-1,true,true,590.0,487.4000000000001,102.59999999999991,590.0,102.59999999999994,0.0
56,-1,-1,true,true,590.0,349.79999999999757,240.20000000000243,590.0,540.2000000000024,4.529999999999999
57,-1,-1,true,true,590.0,363.1000000000005,226.89999999999952,590.0,226.89999999999955,0.0
58,-1,-1,true,true,590.0,356.8000000000005,233.19999999999948,590.0,233.1999999999995,0.0
59,-1,-1,true,true,590.0,282.30000000000007,307.69999999999993,590.0,307.69999999999993,0.0
60,-1,-1,true,true,590.0,331.5999999999974,258.4000000000026,590.0,558.4000000000026,4.529999999999999
61,-1,-1,true,true,590.0,324.00000000000045,265.99999999999955,590.0,265.99999999999955,0.0
62,-1,-1,true,true,590.0,293.69999999999806,296.30000000000194,590.0,507.30000000000194,3.34
63,-1,-1,true,true,590.0,281.8999999999978,308.1000000000022,590.0,519.1000000000022,3.34
64,-1,-1,true,true,590.0,414.49999999999835,175.50000000000165,590.0,476.50000000000165,4.529999999999999
65,-1,-1,true,true,590.0,316.80000000000035,273.19999999999965,590.0,273.19999999999965,0.0
66,-1,-1,true,true,590.0,206.29999999999933,383.70000000000067,590.0,383.70000000000067,0.0
67,-1,-1,true,true,590.0,247.09999999999962,342.9000000000004,590.0,342.9000000000004,0.0
68,-1,-1,true,true,590.0,509.2,80.80000000000001,590.0,80.8,0.0
69,-1,-1,true,true,590.0,573.0999999999972,16.90000000000282,590.0,586.9000000000028,8.1
70,-1,-1,true,true,590.0,494.5999999999972,95.40000000000282,590.0,575.4000000000028,6.91
71,-1,-1,true,true,590.0,323.8000000000004,266.1999999999996,590.0,266.1999999999996,0.0
72,-1,-1,true,true,590.0,429.29999999999853,160.70000000000147,590.0,461.70000000000147,4.529999999999999
73,-1,-1,true,true,590.0,385.59999999999917,204.40000000000083,590.0,414.40000000000083,3.34
74,-1,-1,true,true,590.0,334.8000000000006,255.19999999999942,590.0,255.19999999999942,0.0
75,-1,-1,true,true,590.0,290.50000000000017,299.49999999999983,590.0,299.49999999999983,0.0
76,-1,-1,true,true,590.0,422.6999999999984,167.3000000000016,590.0,467.3000000000016,4.529999999999999
77,-1,-1,true,true,590.0,172.69999999999914,417.30000000000086,590.0,417.30000000000086,0.0
78,-1,-1,true,true,590.0,226.0999999999994,363.9000000000006,590.0,363.9000000000006,0.0
