Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,-1,-1,true,true,3340.0,3224.600000000072,115.39999999992779,3340.0,2766.399999999928,20.729999999999997
1,-1,-1,true,true,3340.0,3138.7000000000635,201.29999999993652,3340.0,2612.2999999999365,15.969999999999999
2,-1,-1,true,true,3340.0,3207.200000000049,132.79999999995107,3340.0,2303.799999999951,18.119999999999997
3,-1,-1,true,true,3340.0,3184.9000000000474,155.09999999995262,3340.0,2264.0999999999526,13.59
4,-1,-1,true,true,3340.0,3148.6000000000745,191.3999999999255,3340.0,2805.3999999999255,12.399999999999999
5,-1,-1,true,true,3340.0,3277.5000000000923,62.499999999907686,3340.0,3240.4999999999077,28.599999999999994
6,-1,-1,true,true,3340.0,2970.70000000009,369.29999999991014,3340.0,3166.29999999991,19.54
7,-1,-1,true,true,3340.0,3069.3000000000866,270.6999999999134,3340.0,3110.6999999999134,15.739999999999998
8,-1,-1,true,true,3340.0,3113.000000000086,226.99999999991405,3340.0,3080.999999999914,12.399999999999999
9,-1,-1,true,true,3340.0,3190.1000000000913,149.8999999999087,3340.0,3225.8999999999087,22.65
10,-1,-1,true,true,3340.0,3212.700000000073,127.29999999992697,3340.0,2776.299999999927,20.73
11,-1,-1,true,true,3340.0,2975.5000000000373,364.4999999999627,3340.0,1991.4999999999625,11.44
12,-1,-1,true,true,3340.0,3082.0000000000546,257.99999999994543,3340.0,2490.9999999999454,13.59
13,-1,-1,true,true,3340.0,3284.1000000000445,55.899999999955526,3340.0,2191.8999999999555,24.529999999999998
14,-1,-1,true,true,3340.0,3073.1000000000968,266.89999999990323,3340.0,3331.8999999999032,13.589999999999998
15,-1,-1,true,true,3340.0,3183.300000000093,156.69999999990705,3340.0,3263.699999999907,24.07
16,-1,-1,true,true,3340.0,3226.6000000000804,113.3999999999196,3340.0,2979.3999999999196,17.16
17,-1,-1,true,true,3340.0,3101.500000000096,238.49999999990405,3340.0,3314.499999999904,20.5
18,-1,-1,true,true,3340.0,3030.8000000000493,309.1999999999507,3340.0,2325.1999999999507,12.399999999999999
19,-1,-1,true,true,3340.0,3172.2000000000517,167.79999999994834,3340.0,2394.7999999999483,18.35
20,-1,-1,true,true,3340.0,2920.4000000000397,419.59999999996035,3340.0,2040.5999999999606,11.44
21,-1,-1,true,true,3340.0,3072.000000000097,267.99999999990314,3340.0,3333.999999999903,20.5
22,-1,-1,true,true,3340.0,3112.2000000000926,227.7999999999074,3340.0,3258.7999999999074,27.179999999999996
23,-1,-1,true,true,3340.0,3216.100000000058,123.89999999994188,3340.0,2532.899999999942,15.969999999999999
24,-1,-1,true,true,3340.0,3058.7000000000935,281.2999999999065,3340.0,3269.2999999999065,26.22
25,-1,-1,true,true,3340.0,3199.7000000000526,140.29999999994743,3340.0,2431.2999999999474,20.729999999999997
26,-1,-1,true,true,3340.0,3109.6000000000718,230.39999999992824,3340.0,2761.3999999999282,22.88
27,-1,-1,true,true,3340.0,3232.500000000079,107.49999999992087,3340.0,2921.499999999921,30.749999999999996
28,-1,-1,true,true,3340.0,3031.500000000092,308.49999999990814,3340.0,3236.499999999908,16.93
29,-1,-1,true,true,3340.0,3000.20000000009,339.79999999991014,3340.0,3171.79999999991,15.739999999999998
30,-1,-1,true,true,3340.0,3189.800000000086,150.19999999991387,3340.0,3104.199999999914,23.11
31,-1,-1,true,true,3340.0,2930.40000000008,409.5999999999199,3340.0,2971.59999999992,14.78
32,-1,-1,true,true,3340.0,3132.1000000000377,207.89999999996235,3340.0,1986.8999999999626,10.25
33,-1,-1,true,true,3340.0,3095.6000000000454,244.39999999995462,3340.0,2224.3999999999546,13.59
34,-1,-1,true,true,3340.0,3277.900000000096,62.09999999990396,3340.0,3313.099999999904,22.88
35,-1,-1,true,true,3340.0,3057.9000000000187,282.09999999998126,3340.0,1576.0999999999813,17.159999999999997
36,-1,-1,true,true,3340.0,3192.7000000000507,147.29999999994925,3340.0,2382.2999999999493,18.349999999999998
37,-1,-1,true,true,3340.0,2976.3000000000793,363.6999999999207,3340.0,2928.6999999999207,16.93
38,-1,-1,true,true,3340.0,3129.3000000000648,210.69999999993524,3340.0,2648.6999999999352,14.78
39,-1,-1,true,true,3340.0,3234.2000000000608,105.79999999993925,3340.0,2572.7999999999392,15.739999999999998
40,-1,-1,true,true,3340.0,3127.3000000000825,212.6999999999175,3340.0,3016.6999999999175,14.779999999999998
41,-1,-1,true,true,3340.0,2992.400000000086,347.59999999991396,3340.0,3095.599999999914,19.31
42,-1,-1,true,true,3340.0,3260.3000000000907,79.69999999990932,3340.0,3211.6999999999093,20.73
43,-1,-1,true,true,3340.0,2928.80000000005,411.1999999999498,3340.0,2364.19999999995,12.629999999999999
44,-1,-1,true,true,3340.0,3114.500000000062,225.49999999993815,3340.0,2599.499999999938,17.159999999999997
45,-1,-1,true,true,3340.0,3099.800000000091,240.19999999990887,3340.0,3224.199999999909,19.31
46,-1,-1,true,true,3340.0,3250.100000000052,89.8999999999478,3340.0,2413.899999999948,14.78
47,-1,-1,true,true,3340.0,3118.200000000083,221.79999999991696,3340.0,3030.799999999917,21.689999999999998
48,-1,-1,true,true,3340.0,3108.3000000000766,231.69999999992342,3340.0,2853.6999999999234,23.61
49,-1,-1,true,true,3340.0,3087.500000000088,252.49999999991178,3340.0,3139.499999999912,20.73
50,-1,-1,true,true,3340.0,3260.00000000009,79.99999999990996,3340.0,3193.99999999991,26.22
51,-1,-1,true,true,3340.0,3002.200000000064,337.79999999993606,3340.0,2623.799999999936,13.82
52,-1,-1,true,true,3340.0,3128.40000000009,211.59999999990987,3340.0,3194.59999999991,24.07
53,-1,-1,true,true,3340.0,3099.3000000000875,240.6999999999125,3340.0,3132.6999999999125,18.119999999999997
54,-1,-1,true,true,3340.0,3007.2000000000808,332.79999999991924,3340.0,2981.7999999999192,15.969999999999999
55,-1,-1,true,true,3340.0,3228.000000000049,111.99999999995089,3340.0,2313.999999999951,19.54
56,-1,-1,true,true,3340.0,3087.8000000000784,252.1999999999216,3340.0,2898.1999999999216,22.88
