Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,-1,-1,true,true,700.0,587.5999999999971,112.40000000000293,700.0,592.4000000000029,6.91
1,-1,-1,true,true,700.0,499.399999999996,200.600000000004,700.0,680.600000000004,6.91
2,-1,-1,true,true,700.0,572.1999999999979,127.80000000000211,700.0,518.8000000000021,5.72
3,-1,-1,true,true,700.0,546.7999999999972,153.20000000000277,700.0,573.2000000000028,4.529999999999999
4,-1,-1,true,true,700.0,512.3999999999993,187.6000000000007,700.0,397.6000000000007,3.34
5,-1,-1,true,true,700.0,642.4999999999965,57.500000000003524,700.0,627.5000000000035,8.1
6,-1,-1,true,true,700.0,337.39999999999725,362.60000000000275,700.0,572.6000000000028,3.34
7,-1,-1,true,true,700.0,439.3999999999984,260.6000000000016,700.0,470.6000000000016,3.34
8,-1,-1,true,true,700.0,479.49999999999636,220.50000000000364,700.0,640.5000000000036,4.529999999999999
9,-1,-1,true,true,700.0,567.2000000000002,132.79999999999984,700.0,132.79999999999984,0.0
10,-1,-1,true,true,700.0,580.3999999999969,119.60000000000309,700.0,599.6000000000031,6.91
11,-1,-1,true,true,700.0,340.2999999999962,359.7000000000038,700.0,659.7000000000038,4.529999999999999
12,-1,-1,true,true,700.0,445.39999999999844,254.60000000000156,700.0,464.60000000000156,3.34
13,-1,-1,true,true,700.0,645.4999999999976,54.50000000000239,700.0,534.5000000000024,6.91
14,-1,-1,true,true,700.0,456.4999999999987,243.5000000000013,700.0,454.5000000000013,3.34
15,-1,-1,true,true,700.0,552.7999999999965,147.20000000000346,700.0,627.2000000000035,6.91
16,-1,-1,true,true,700.0,591.899999999996,108.100000000004,700.0,678.100000000004,8.1
17,-1,-1,true,true,700.0,472.0999999999967,227.90000000000327,700.0,619.9000000000033,5.72
18,-1,-1,true,true,700.0,398.39999999999645,301.60000000000355,700.0,632.6000000000035,3.34
19,-1,-1,true,true,700.0,535.5999999999974,164.4000000000026,700.0,554.4000000000026,5.72
20,-1,-1,true,true,700.0,282.3999999999991,417.6000000000009,700.0,417.6000000000009,0.0
21,-1,-1,true,true,700.0,442.89999999999634,257.10000000000366,700.0,647.1000000000037,5.72
22,-1,-1,true,true,700.0,485.89999999999895,214.10000000000105,700.0,424.10000000000105,3.34
23,-1,-1,true,true,700.0,581.699999999996,118.30000000000405,700.0,688.300000000004,8.1
24,-1,-1,true,true,700.0,435.3999999999962,264.6000000000038,700.0,654.6000000000038,5.72
25,-1,-1,true,true,700.0,562.4000000000002,137.5999999999998,700.0,137.5999999999998,0.0
26,-1,-1,true,true,700.0,475.5999999999974,224.4000000000026,700.0,555.4000000000026,3.34
27,-1,-1,true,true,700.0,602.2999999999982,97.70000000000175,700.0,487.70000000000175,5.72
28,-1,-1,true,true,700.0,400.299999999998,299.700000000002,700.0,510.700000000002,3.34
29,-1,-1,true,true,700.0,374.09999999999985,325.90000000000015,700.0,325.90000000000015,0.0
30,0,0,false,true,700.0,570.0,130.0,700.0,129.19999999999987,8.1
31,-1,-1,true,true,700.0,309.1999999999993,390.8000000000007,700.0,390.8000000000007,0.0
32,-1,-1,true,true,700.0,492.9999999999976,207.0000000000024,700.0,537.0000000000024,3.34
33,-1,-1,true,true,700.0,472.2000000000005,227.7999999999995,700.0,227.79999999999953,0.0
34,-1,-1,true,true,700.0,648.3999999999967,51.60000000000332,700.0,621.6000000000033,8.1
35,-1,-1,true,true,700.0,419.1999999999982,280.8000000000018,700.0,491.8000000000018,3.34
36,-1,-1,true,true,700.0,557.6999999999966,142.30000000000337,700.0,622.3000000000034,6.91
37,-1,-1,true,true,700.0,348.39999999999736,351.60000000000264,700.0,563.6000000000026,3.34
38,-1,-1,true,true,700.0,495.4999999999981,204.50000000000188,700.0,504.5000000000019,4.529999999999999
39,-1,-1,true,true,700.0,602.6999999999982,97.30000000000177,700.0,487.3000000000017,5.72
40,-1,-1,true,true,700.0,494.99999999999807,205.00000000000193,700.0,506.00000000000193,4.529999999999999
41,-1,-1,true,true,700.0,369.5999999999975,330.4000000000025,700.0,540.4000000000025,3.34
42,-1,-1,true,true,700.0,624.8999999999963,75.10000000000366,700.0,646.1000000000037,8.1
43,-1,-1,true,true,700.0,296.2999999999993,403.7000000000007,700.0,403.7000000000007,0.0
44,-1,-1,true,true,700.0,476.2999999999988,223.70000000000118,700.0,434.7000000000012,3.34
45,-1,-1,true,true,700.0,471.69999999999766,228.30000000000234,700.0,528.3000000000023,4.529999999999999
46,-1,-1,true,true,700.0,611.7999999999973,88.20000000000266,700.0,568.2000000000027,6.91
47,-1,-1,true,true,700.0,488.599999999999,211.400000000001,700.0,422.400000000001,3.34
48,-1,-1,true,true,700.0,480.6999999999978,219.30000000000223,700.0,520.3000000000022,4.529999999999999
49,-1,-1,true,true,700.0,450.99999999999613,249.00000000000387,700.0,671.0000000000039,4.529999999999999
50,-1,-1,true,true,700.0,632.2999999999975,67.70000000000255,700.0,548.7000000000025,6.91
51,-1,-1,true,true,700.0,368.79999999999967,331.20000000000033,700.0,331.20000000000033,0.0
52,-1,-1,true,true,700.0,505.19999999999925,194.80000000000075,700.0,404.80000000000075,3.34
53,-1,-1,true,true,700.0,465.79999999999876,234.20000000000124,700.0,444.20000000000124,3.34
54,-1,-1,true,true,700.0,372.6999999999998,327.3000000000002,700.0,327.3000000000002,0.0
55,-1,-1,true,true,700.0,597.4000000000001,102.59999999999991,700.0,102.59999999999994,0.0
56,-1,-1,true,true,700.0,459.79999999999757,240.20000000000243,700.0,540.2000000000024,4.529999999999999
57,-1,-1,true,true,700.0,473.1000000000005,226.89999999999952,700.0,226.89999999999955,0.0
58,-1,-1,true,true,700.0,466.8000000000005,233.19999999999948,700.0,233.1999999999995,0.0
59,-1,-1,true,true,700.0,392.30000000000007,307.69999999999993,700.0,307.69999999999993,0.0
60,-1,-1,true,true,700.0,441.5999999999974,258.4000000000026,700.0,558.4000000000026,4.529999999999999
61,-1,-1,true,true,700.0,430.699999999997,269.300000000003,700.0,599.300000000003,3.34
62,-1,-1,true,true,700.0,403.69999999999806,296.30000000000194,700.0,507.30000000000194,3.34
63,-1,-1,true,true,700.0,391.8999999999978,308.1000000000022,700.0,519.1000000000022,3.34
