Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,-1,-1,true,true,2290.0,2177.500000000021,112.49999999997908,2290.0,1619.499999999979,16.2
1,-1,-1,true,true,2290.0,2089.199999999997,200.8000000000029,2290.0,1139.8000000000031,10.25
2,-1,-1,true,true,2290.0,2159.000000000032,130.99999999996817,2290.0,1849.9999999999682,14.78
3,-1,-1,true,true,2290.0,2134.9000000000474,155.09999999995262,2290.0,2264.0999999999526,13.59
4,-1,-1,true,true,2290.0,2101.700000000027,188.2999999999729,2290.0,1748.2999999999731,9.059999999999999
5,-1,-1,true,true,2290.0,2231.800000000036,58.19999999996389,2290.0,1966.199999999964,17.159999999999997
6,-1,-1,true,true,2290.0,1927.2000000000141,362.79999999998586,2290.0,1503.7999999999859,6.68
7,-1,-1,true,true,2290.0,2020.3000000000256,269.69999999997435,2290.0,1721.6999999999744,11.209999999999999
8,-1,-1,true,true,2290.0,2067.8000000000393,222.1999999999607,2290.0,2026.199999999961,9.059999999999999
9,-1,-1,true,true,2290.0,2155.6000000000204,134.39999999997963,2290.0,1610.3999999999799,12.629999999999999
10,-1,-1,true,true,2290.0,2163.4000000000287,126.59999999997126,2290.0,1784.5999999999713,15.01
11,-1,-1,true,true,2290.0,1925.5000000000375,364.4999999999625,2290.0,1991.4999999999625,11.44
12,-1,-1,true,true,2290.0,2034.2000000000203,255.79999999997972,2290.0,1610.7999999999797,7.869999999999999
13,-1,-1,true,true,2290.0,2234.1000000000445,55.899999999955526,2290.0,2191.8999999999555,24.529999999999998
14,-1,-1,true,true,2290.0,2040.2000000000346,249.7999999999654,2290.0,1934.7999999999654,9.059999999999999
15,-1,-1,true,true,2290.0,2136.1000000000063,153.89999999999372,2290.0,1327.8999999999937,10.25
16,-1,-1,true,true,2290.0,2177.5000000000337,112.49999999996635,2290.0,1920.4999999999661,13.82
17,-1,-1,true,true,2290.0,2058.499999999998,231.50000000000182,2290.0,1167.5000000000016,10.25
18,-1,-1,true,true,2290.0,1981.499999999994,308.5000000000059,2290.0,854.500000000006,6.68
19,-1,-1,true,true,2290.0,2123.000000000029,166.9999999999709,2290.0,1792.999999999971,11.44
20,-1,-1,true,true,2290.0,1870.4000000000394,419.5999999999606,2290.0,2040.5999999999606,11.44
21,-1,-1,true,true,2290.0,2032.0000000000236,257.99999999997635,2290.0,1668.9999999999764,10.25
22,-1,-1,true,true,2290.0,2062.700000000045,227.29999999995516,2290.0,2205.299999999955,23.839999999999996
23,-1,-1,true,true,2290.0,2169.400000000001,120.599999999999,2290.0,1238.599999999999,12.629999999999999
24,-1,-1,true,true,2290.0,2022.2000000000194,267.7999999999806,2290.0,1595.7999999999806,13.82
25,-1,-1,true,true,2290.0,2151.300000000006,138.6999999999939,2290.0,1317.699999999994,15.009999999999998
26,-1,-1,true,true,2290.0,2059.800000000014,230.19999999998618,2290.0,1493.1999999999862,13.59
27,-1,-1,true,true,2290.0,2187.300000000024,102.69999999997617,2290.0,1679.699999999976,18.119999999999997
28,-1,-1,true,true,2290.0,1989.7000000000091,300.29999999999086,2290.0,1384.2999999999909,9.059999999999999
29,-1,-1,true,true,2290.0,1961.700000000023,328.299999999977,2290.0,1651.299999999977,9.059999999999999
30,-1,-1,true,true,2290.0,2144.0000000000455,145.99999999995453,2290.0,2221.9999999999545,17.39
31,-1,-1,true,true,2290.0,1898.5000000000073,391.4999999999927,2290.0,1354.4999999999927,6.91
32,-1,-1,true,true,2290.0,2082.1000000000377,207.89999999996235,2290.0,1986.8999999999626,10.25
33,-1,-1,true,true,2290.0,2045.6000000000454,244.39999999995462,2290.0,2224.3999999999546,13.59
34,-1,-1,true,true,2290.0,2235.5000000000305,54.49999999996953,2290.0,1826.4999999999695,17.16
35,-1,-1,true,true,2290.0,2007.9000000000187,282.09999999998126,2290.0,1576.0999999999813,17.159999999999997
36,-1,-1,true,true,2290.0,2145.399999999997,144.6000000000031,2290.0,1143.6000000000029,12.629999999999999
37,-1,-1,true,true,2290.0,1932.100000000032,357.89999999996803,2290.0,1863.899999999968,6.68
38,-1,-1,true,true,2290.0,2082.7000000000126,207.29999999998745,2290.0,1474.2999999999877,11.44
39,-1,-1,true,true,2290.0,2186.0000000000377,103.99999999996226,2290.0,2000.9999999999623,12.399999999999999
40,-1,-1,true,true,2290.0,2078.1000000000286,211.89999999997144,2290.0,1781.8999999999714,9.059999999999999
41,-1,-1,true,true,2290.0,1948.9000000000262,341.09999999997376,2290.0,1732.0999999999738,13.59
42,-1,-1,true,true,2290.0,2214.1000000000363,75.89999999996371,2290.0,1970.8999999999637,15.01
43,-1,-1,true,true,2290.0,1883.5000000000039,406.49999999999613,2290.0,1279.4999999999961,5.72
44,-1,-1,true,true,2290.0,2064.600000000034,225.39999999996598,2290.0,1906.3999999999662,9.059999999999999
45,-1,-1,true,true,2290.0,2058.400000000025,231.5999999999749,2290.0,1707.599999999975,7.869999999999999
46,-1,-1,true,true,2290.0,2200.7999999999975,89.20000000000255,2290.0,1148.2000000000025,10.25
47,-1,-1,true,true,2290.0,2069.800000000022,220.199999999978,2290.0,1644.1999999999778,17.159999999999997
48,-1,-1,true,true,2290.0,2062.300000000002,227.699999999998,2290.0,1254.6999999999978,13.59
49,-1,-1,true,true,2290.0,2037.7000000000426,252.29999999995744,2290.0,2144.2999999999574,15.01
50,-1,-1,true,true,2290.0,2221.800000000012,68.199999999988,2290.0,1467.199999999988,18.35
51,-1,-1,true,true,2290.0,1958.7999999999927,331.2000000000073,2290.0,1051.2000000000073,6.91
52,-1,-1,true,true,2290.0,2084.1000000000395,205.89999999996053,2290.0,2039.8999999999608,14.78
53,-1,-1,true,true,2290.0,2050.500000000046,239.49999999995407,2290.0,2226.499999999954,13.59
54,-1,-1,true,true,2290.0,1959.7000000000194,330.2999999999806,2290.0,1598.2999999999806,11.44
55,-1,-1,true,true,2290.0,2182.400000000004,107.59999999999582,2290.0,1286.5999999999958,15.01
56,-1,-1,true,true,2290.0,2043.0000000000232,246.9999999999768,2290.0,1658.9999999999768,15.01
57,-1,-1,true,true,2290.0,2057.2000000000417,232.79999999995835,2290.0,2123.7999999999583,15.009999999999998
58,-1,-1,true,true,2290.0,2047.6000000000342,242.39999999996576,2290.0,1927.3999999999658,13.819999999999999
59,-1,-1,true,true,2290.0,1974.8000000000407,315.19999999995935,2290.0,2088.1999999999593,15.009999999999998
60,-1,-1,true,true,2290.0,2027.2000000000335,262.79999999996653,2290.0,1894.7999999999665,13.59
61,-1,-1,true,true,2290.0,2011.90000000004,278.0999999999599,2290.0,2058.09999999996,12.399999999999999
62,-1,-1,true,true,2290.0,1989.8000000000434,300.1999999999566,2290.0,2168.1999999999566,18.349999999999998
63,-1,-1,true,true,2290.0,1980.8000000000081,309.19999999999186,2290.0,1365.1999999999919,12.399999999999999
64,-1,-1,true,true,2290.0,2110.7000000000403,179.2999999999597,2290.0,2078.2999999999597,12.399999999999999
65,-1,-1,true,true,2290.0,2016.7999999999947,273.2000000000053,2290.0,783.2000000000054,5.72
66,-1,-1,true,true,2290.0,1899.5000000000468,390.49999999995316,2290.0,2252.499999999953,6.68
67,-1,-1,true,true,2290.0,1940.700000000043,349.299999999957,2290.0,2155.299999999957,9.059999999999999
68,-1,-1,true,true,2290.0,2196.90000000004,93.09999999995989,2290.0,2078.09999999996,18.35
69,-1,-1,true,true,2290.0,2267.800000000034,22.199999999966167,2290.0,1912.1999999999662,19.77
70,-1,-1,true,true,2290.0,2182.4000000000433,107.59999999995671,2290.0,2158.5999999999567,18.119999999999997
71,-1,-1,true,true,2290.0,2019.9000000000478,270.09999999995216,2290.0,2282.099999999952,15.009999999999998
72,-1,-1,true,true,2290.0,2126.1000000000267,163.89999999997326,2290.0,1734.8999999999735,11.209999999999999
73,-1,-1,true,true,2290.0,2082.400000000038,207.59999999996217,2290.0,2011.599999999962,15.969999999999999
74,-1,-1,true,true,2290.0,2031.6999999999944,258.30000000000564,2290.0,828.3000000000058,8.1
75,-1,-1,true,true,2290.0,1982.6000000000286,307.39999999997144,2290.0,1782.3999999999714,7.869999999999999
76,-1,-1,true,true,2290.0,2119.0000000000045,170.99999999999545,2290.0,1286.9999999999957,7.869999999999999
77,-1,-1,true,true,2290.0,1865.8000000000397,424.19999999996026,2290.0,2044.1999999999603,11.44
78,-1,-1,true,true,2290.0,1921.6999999999925,368.30000000000746,2290.0,970.3000000000076,6.91
79,-1,-1,true,true,2290.0,2052.600000000042,237.3999999999578,2290.0,2134.399999999958,12.399999999999999
80,-1,-1,true,true,2290.0,1885.4000000000221,404.59999999997785,2290.0,1638.5999999999779,7.869999999999999
81,-1,-1,true,true,2290.0,2030.4000000000442,259.5999999999558,2290.0,2188.599999999956,11.209999999999999
82,-1,-1,true,true,2290.0,2034.3000000000402,255.6999999999598,2290.0,2067.69999999996,11.209999999999999
83,-1,-1,true,true,2290.0,2006.5000000000366,283.4999999999634,2290.0,1972.4999999999634,13.819999999999999
84,-1,-1,true,true,2290.0,1914.600000000018,375.3999999999819,2290.0,1561.399999999982,12.399999999999999
85,-1,-1,true,true,2290.0,2052.2000000000417,237.79999999995835,2290.0,2129.7999999999583,15.009999999999998
86,-1,-1,true,true,2290.0,2010.8000000000218,279.1999999999782,2290.0,1634.1999999999782,7.869999999999999
87,-1,-1,true,true,2290.0,2138.10000000004,151.89999999996007,2290.0,2049.89999999996,17.16
88,-1,-1,true,true,2290.0,2126.000000000032,163.99999999996817,2290.0,1853.9999999999682,15.969999999999999
89,-1,-1,true,true,2290.0,2008.300000000039,281.69999999996094,2290.0,2030.699999999961,16.2
90,-1,-1,true,true,2290.0,1910.200000000035,379.79999999996494,2290.0,1943.799999999965,11.209999999999999
91,-1,-1,true,true,2290.0,2202.7000000000453,87.29999999995471,2290.0,2219.2999999999547,15.01
92,-1,-1,true,true,2290.0,2122.3000000000416,167.69999999995844,2290.0,2126.6999999999584,16.93
93,-1,-1,true,true,2290.0,2176.1000000000104,113.89999999998963,2290.0,1438.8999999999894,9.059999999999999
94,-1,-1,true,true,2290.0,1879.900000000041,410.099999999959,2290.0,2099.099999999959,9.059999999999999
95,-1,-1,true,true,2290.0,1960.5000000000352,329.49999999996476,2290.0,1951.4999999999648,16.2
96,-1,-1,true,true,2290.0,2096.8000000000247,193.19999999997526,2290.0,1702.1999999999753,16.2
97,-1,-1,true,true,2290.0,1878.900000000047,411.09999999995307,2290.0,2245.099999999953,12.629999999999999
98,-1,-1,true,true,2290.0,2149.700000000037,140.2999999999629,2290.0,1979.299999999963,12.629999999999999
99,-1,-1,true,true,2290.0,2040.0000000000418,249.99999999995816,2290.0,2117.999999999958,11.44
100,-1,-1,true,true,2290.0,2057.7000000000467,232.29999999995334,2290.0,2241.2999999999533,22.65
101,-1,-1,true,true,2290.0,1979.5000000000473,310.4999999999527,2290.0,2262.4999999999527,12.629999999999999
102,-1,-1,true,true,2290.0,2075.9000000000133,214.09999999998672,2290.0,1486.0999999999867,13.589999999999998
103,-1,-1,true,true,2290.0,2268.1000000000454,21.899999999954616,2290.0,2211.8999999999546,17.39
104,-1,-1,true,true,2290.0,2096.200000000017,193.7999999999829,2290.0,1548.7999999999827,12.629999999999999
105,-1,-1,true,true,2290.0,2085.4000000000415,204.59999999995853,2290.0,2106.5999999999585,17.16
106,-1,-1,true,true,2290.0,2120.1000000000404,169.89999999995962,2290.0,2068.8999999999596,10.25
107,-1,-1,true,true,2290.0,1984.60000000004,305.3999999999601,2290.0,2057.39999999996,15.739999999999998
108,-1,-1,true,true,2290.0,1985.7000000000344,304.2999999999656,2290.0,1929.2999999999656,11.44
