Driver ID,Location X,Location Y,Is OnService,Is Active,Working Hours,Total Working Hours,Total idleTime,Total Active Hour,Revenus,The  Service Start Time
0,-1,-1,true,true,2200.0,2087.500000000021,112.49999999997908,2200.0,1619.499999999979,16.2
1,-1,-1,true,true,2200.0,1999.1999999999969,200.80000000000314,2200.0,1139.8000000000031,10.25
2,-1,-1,true,true,2200.0,2069.000000000032,130.99999999996817,2200.0,1849.9999999999682,14.78
3,-1,-1,true,true,2200.0,2045.1000000000033,154.89999999999668,2200.0,1268.8999999999967,7.869999999999999
4,-1,-1,true,true,2200.0,2011.7000000000269,188.29999999997312,2200.0,1748.2999999999731,9.059999999999999
5,-1,-1,true,true,2200.0,2141.800000000036,58.19999999996389,2200.0,1966.199999999964,17.159999999999997
6,-1,-1,true,true,2200.0,1837.2000000000141,362.79999999998586,2200.0,1503.7999999999859,6.68
7,-1,-1,true,true,2200.0,1930.3000000000256,269.69999999997435,2200.0,1721.6999999999744,11.209999999999999
8,-1,-1,true,true,2200.0,1977.800000000039,222.19999999996094,2200.0,2026.199999999961,9.059999999999999
9,-1,-1,true,true,2200.0,2065.6000000000204,134.39999999997963,2200.0,1610.3999999999799,12.629999999999999
10,-1,-1,true,true,2200.0,2073.4000000000287,126.59999999997126,2200.0,1784.5999999999713,15.01
11,-1,-1,true,true,2200.0,1835.5000000000375,364.4999999999625,2200.0,1991.4999999999625,11.44
12,-1,-1,true,true,2200.0,1944.2000000000203,255.79999999997972,2200.0,1610.7999999999797,7.869999999999999
13,-1,-1,true,true,2200.0,2144.1000000000445,55.899999999955526,2200.0,2191.8999999999555,24.529999999999998
14,-1,-1,true,true,2200.0,1950.2000000000346,249.7999999999654,2200.0,1934.7999999999654,9.059999999999999
15,-1,-1,true,true,2200.0,2046.1000000000063,153.89999999999372,2200.0,1327.8999999999937,10.25
16,-1,-1,true,true,2200.0,2087.5000000000337,112.49999999996635,2200.0,1920.4999999999661,13.82
17,-1,-1,true,true,2200.0,1968.4999999999984,231.5000000000016,2200.0,1167.5000000000016,10.25
18,-1,-1,true,true,2200.0,1891.499999999994,308.5000000000059,2200.0,854.500000000006,6.68
19,-1,-1,true,true,2200.0,2033.000000000029,166.9999999999709,2200.0,1792.999999999971,11.44
20,-1,-1,true,true,2200.0,1780.4000000000394,419.5999999999606,2200.0,2040.5999999999606,11.44
21,-1,-1,true,true,2200.0,1942.0000000000236,257.99999999997635,2200.0,1668.9999999999764,10.25
22,-1,-1,true,true,2200.0,1974.2000000000282,225.79999999997176,2200.0,1774.7999999999718,19.31
23,-1,-1,true,true,2200.0,2079.400000000001,120.599999999999,2200.0,1238.599999999999,12.629999999999999
24,-1,-1,true,true,2200.0,1932.2000000000194,267.7999999999806,2200.0,1595.7999999999806,13.82
25,-1,-1,true,true,2200.0,2061.300000000006,138.6999999999939,2200.0,1317.699999999994,15.009999999999998
26,-1,-1,true,true,2200.0,1969.8000000000138,230.19999999998618,2200.0,1493.1999999999862,13.59
27,-1,-1,true,true,2200.0,2097.300000000024,102.69999999997617,2200.0,1679.699999999976,18.119999999999997
28,-1,-1,true,true,2200.0,1899.7000000000091,300.29999999999086,2200.0,1384.2999999999909,9.059999999999999
29,-1,-1,true,true,2200.0,1871.700000000023,328.299999999977,2200.0,1651.299999999977,9.059999999999999
30,-1,-1,true,true,2200.0,2060.6999999999957,139.30000000000427,2200.0,709.3000000000043,8.1
31,-1,-1,true,true,2200.0,1808.5000000000073,391.4999999999927,2200.0,1354.4999999999927,6.91
32,-1,-1,true,true,2200.0,1992.1000000000374,207.89999999996257,2200.0,1986.8999999999626,10.25
33,-1,-1,true,true,2200.0,1962.800000000038,237.19999999996207,2200.0,2007.199999999962,10.25
